화장실명,소재지도로명주소,위도,경도
신성통상,서울특별시 강동구 풍성로63길 84,37.5297929,127.1396397
길동빌딩,서울특별시 강동구 양재대로 1458,37.5374841,127.139866
둔촌역전통시장 공영주차장내고객지원센터,서울특별시 강동구 풍성로54길 21,37.5293325,127.1323073
암사시장 고객화장실,서울특별시 강동구 상암로 11길 8,37.55,127.1289
성내하니공원,서울특별시 강동구 성내로3가길 71,37.530694,127.1242466
선린어린이공원,서울특별시 강동구 양재대로91길 59,37.5283791,127.1335173
일자산숲속화장실,서울특별시 강동구 동남로 614,37.55187,127.1563209
일자산자연공원(잔디광장옆),서울특별시 강동구 둔촌동 산125,37.5314,127.1508
일자산자연공원(잔디광장옆),서울특별시 강동구 둔촌동 산125,37.5314,127.1508
일자산자연공원(도시농업공원),서울특별시 강동구 둔촌2동 산119,37.5339,127.1516
일자산자연공원(허브천문공원),서울특별시 강동구 둔촌2동 산86,37.5377,127.1538
명일근린공원(중앙하이츠 뒷산),서울특별시 강동구 상일동 산54,37.5523,127.1595
명일근린공원(상일동산),서울특별시 강동구 상일동 185,37.55073,127.1704
게네 고덕천 물놀이장,서울특별시 강동구 상일동 491(천),37.5526,127.173
게내 수변공원(SK주유소 뒤),서울특별시 강동구 강일동 703(공),37.5605,127.1721
게내 수변공원(공원관리소),서울특별시 강동구 상일동 479,37.55073,127.1704
민속의집,서울특별시 강동구 고덕로83길55,37.5596,127.1684
민속의집,서울특별시 강동구 고덕로83길55,37.5596,127.1684
고덕유수지 야구장 화장실,서울특별시 강동구 아리수로87길,37.566469,127.1653485
민속의집,서울특별시 강동구 고덕로83길55,37.5596,127.1684
동명근린공원(축구장),서울특별시 강동구 아리수로78길 23(공원),37.5611,127.1644
샘터배드민턴장 화장실,서울특별시 강동구 동남로 990,37.55187,127.1563209
샘터배드민턴장 화장실,서울특별시 강동구 동남로 990,37.55187,127.1563209
방죽근린공원,서울특별시 강동구 고덕2동 296,37.5658618,127.16385169620774
두레근린공원,서울특별시 강동구 고덕동 497(공원),37.5586,127.1517
명일파출소 뒤,서울특별시 강동구 동남로 895,37.55187,127.1563209
상일쉼터(그루터기),서울특별시 강동구 상일동 147,37.55073,127.1704
샛마을근린공원,서울특별시 강동구 구천면로 441(공원),37.5497,127.1475
고분다리시장(주차장),서울특별시 강동구 구천면로 258-6,37.5494,127.15741
새장터어린이공원,서울특별시 강동구 암사1가길 16,37.5525617,127.1306815
광나루공원,서울특별시 강동구 상암로 12-19,37.549274,127.131724
천호3동 공영주차장 화장실,서울특별시 강동구 진황도로29길 34,37.5388547,127.1325441
성내유수지체육시설,서울특별시 송파구 방이동 88-13,37.5141564,127.1195472
암사역사공원,서울특별시 강동구 암사동 193(전),37.5575,127.1305
암사역사공원 비지터센터,서울특별시 강동구 암사동 137-2(전),37.5591,127.1311
고덕그라시움(135동 앞),서울특별시 강동구 고덕동 692(공원),37.5602,127.1623
볕우물어린이공원,서울특별시 강동구 고덕로24길 23,37.553684,127.1363
능골근린공원,서울특별시 강동구 상일2동 536,37.5519776,127.17759123417297
가제골(전원마을),서울특별시 강동구 고덕동 산94-1,37.564,127.1484
산등성이목조식,서울특별시 강동구 암사동 산40-3,37.5616,127.1451
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
중앙관 2층 로비 화장실,서울특별시 강동구 진황도로 61길 53,37.5306445,127.148223
한전강동송파지사 화장실,서울특별시 강동구 양재대로 1318,37.5374841,127.139866
강동구청 제1청사 1층 화장실,서울특별시 강동구 성내로 25,37.5298083,127.1213413
강동구청 제1청사 1층 화장실,서울특별시 강동구 성내로 25,37.5298083,127.1213413
강동구청 제1청사 1층 화장실,서울특별시 강동구 성내로 25,37.5298083,127.1213413
강동구청 성안별관,서울특별시 강동구 성내로3가길 19,37.5299495,127.1250644
강동구청 고덕별관,서울특별시 강동구 동남로 930,37.5372271,127.1520435
강동아트센터 화장실,서울특별시 강동구 동남로 870,37.54313,127.15441
둔촌도서관 화장실,서울특별시 강동구 동남로 49길 21-8,37.531562,127.148332
성내도서관 화장실,서울특별시 강동구 성안로 106-1,37.5246363,127.1291785
암사도서관 화장실,서울특별시 강동구 고덕로 20길 42,37.552799,127.133364
천호도서관 화장실,서울특별시 강동구 성안로 31마길 1,37.540469,127.134048
해공도서관 화장실,서울특별시 강동구 올림픽로 702,37.5440238,127.1256481
강일도서관 화장실,서울특별시 강동구 아리수로 93길 9-14,37.565132,127.173753
신세계 이마트 명일점 공중화장실,서울특별시 강동구 고덕로 276,37.5571836,127.1703532
신세계 이마트 천호지점 화장실,서울특별시 강동구 천호대로 1017,37.5375939,127.1279359
현대백화점 천호지점,서울특별시 강동구 천호대로 1005,37.5375939,127.1279359
이천일아울렛,서울특별시 강동구 구천면로 189,37.5418808,127.1224194
